,CAN10_1,CAN11_1,CAN5_1,CAN6_1,CAN7_1,CAN8_1,CAN9_1,Year,State
72,14.336852926512552,114.33941976074131,140.37800475532808,9.164064061641692,46.00818095728755,77.27024122948453,24.00441944971681,2021,IN
73,14.42970439195632,116.14223564490678,141.22255421740311,9.427546906471251,46.30284358263016,77.11575807730362,24.08844531141222,2022,IN
74,14.518753075102955,117.94365400876852,142.06157116293903,9.688599789142607,46.589301156252624,76.95518599276748,24.17179386392236,2023,IN
75,14.60864528417586,119.74766019470992,142.90532646055019,9.95074586868286,46.87499042749405,76.79272162591425,24.25519380066544,2024,IN
76,14.696867549667742,121.5510236417875,143.74701337926084,10.211806476116179,47.15674322322011,76.62727881123631,24.338338937424126,2025,IN
78,12.973622445017096,123.57722618617117,145.38701937430693,8.631813406944275,43.049957137927414,59.9925185990908,29.53154068849981,2020,KS
79,12.970236662651097,124.15543121397495,145.94432659298957,8.921972370147705,43.2603005213663,59.663865535353175,29.699770894832913,2021,KS
80,12.967870359246923,124.73468309119343,146.5047700563601,9.215543961524963,43.48765205871314,59.335294503148205,29.869168430194264,2022,KS
81,12.96389862423141,125.31410569995641,147.0641891619889,9.5075208902359,43.70757272075862,59.0067171908993,30.038501976616686,2023,KS
82,12.96023628450929,125.89409101717175,147.62485876247132,9.800588417053222,43.933356053195894,58.67817234830004,30.208222148939974,2024,KS
83,12.955889930327722,126.47417400591077,148.1851640661092,10.093088555335997,44.15654820073396,58.3496267141542,30.37791088428349,2025,KS
85,15.3092913576945,117.36856285510585,145.55530550026643,10.530053186416627,52.82085118368268,98.61504516772307,30.13032012619079,2020,KY
86,15.210344026555923,118.67917559500785,146.62481198785824,10.852386569976806,53.11550211533904,98.22228505878401,30.28290770202876,2021,KY
87,15.113146161668306,119.98672237952707,147.73826302398612,11.228609466552733,53.43843403682113,97.82983905188742,30.435881128720947,2022,KY
88,15.014351300654614,121.29584049771076,148.80421899870652,11.552610301971434,53.72946378737688,97.43704906146355,30.58845463134349,2023,KY
89,14.916701986873512,122.60449471918402,149.91385039261846,11.923911666870115,54.049601189792156,97.04451429548988,30.741318015009174,2024,KY
90,14.818272913332706,123.91319298965392,150.9837589017425,12.253666925430295,54.341779151558875,96.65170248340199,30.893863779120156,2025,KY
92,12.253720163910957,146.3568711162079,148.4078368533713,7.237896364927291,40.07482200413942,59.2822738812926,26.449187646806244,2020,MD
93,12.155265528957045,147.84467062777838,149.0104703351467,7.379358303546905,40.47479851171374,59.019904325933524,26.29959032759071,2021,MD
94,12.057251735683526,149.3364321072586,149.6146317214821,7.525103038549422,40.91685929074883,58.760751914201954,26.178847423940905,2022,MD
95,11.958826417642793,150.82436932707205,150.21728156859749,7.666399294137953,41.31840514540672,58.49848441301538,26.049000414460906,2023,MD
96,11.860664288825735,152.31469802553767,150.82084109884448,7.810384148359297,41.747960750758644,58.23826389939839,25.921626157313593,2024,MD
97,11.76225225663898,153.8027398442384,151.42350028920913,7.95183714032173,42.153270177543156,57.97615513096879,25.78346352279187,2025,MD
99,17.107999256004884,123.87712295987878,155.48559193444476,5.9011660173535345,43.5302333721891,88.94864776084825,32.60857289824635,2020,ME
100,17.218712050716075,125.3032615618664,156.12844080620414,5.989259700477123,43.59537904094904,88.9774398711821,33.00037149656564,2021,ME
101,17.33164327070116,126.7296538140043,156.77144235812543,6.0773904651403425,43.660693785455074,89.01617257470893,33.392170462012295,2022,ME
102,17.44337704728046,128.1558918650728,157.4143501527287,6.1654987469315525,43.72590846735984,89.0504144904515,33.78397003253922,2023,ME
103,17.555325976759182,129.58220582401847,158.05730282208674,6.253618179261684,43.79117600880563,89.08706909790645,34.175769976992164,2024,ME
104,17.667032271623597,131.00846089499538,158.70021900988596,6.341729068756103,43.856407598964864,89.12226248631886,34.567570091411476,2025,ME
106,13.518574858301626,126.51045875027776,140.89203768141257,7.135755880177021,41.6029787405394,71.18893985285736,22.57513702400029,2020,MI
107,13.465360506282494,126.89802892841399,141.38528430073833,7.228578825294971,41.704373803269114,70.8958108552111,22.587779077142482,2021,MI
108,13.412147207992765,127.25151381008328,141.877685815158,7.321384041011332,41.80574568258598,70.60264991180354,22.595592970401054,2022,MI
109,13.358934565105777,127.59790378063919,142.36957903493507,7.414178511500357,41.90710348188877,70.30946958151961,22.60322585627437,2023,MI
110,13.305722362920632,127.93674533441664,142.86111648441292,7.506965284049509,42.008450988028194,70.01627540759127,22.60974039062858,2024,MI
111,13.252510454536713,128.2726119082421,143.35242197434417,7.599746967852114,42.1097916547209,69.72307208636782,22.615937590971594,2025,MI
113,13.480719557544214,127.3522437294014,149.54246073475417,5.772083657979964,40.73506818041206,61.575069650386794,37.69368361085654,2020,MN
114,13.3839354099861,128.503365454264,150.07619097708567,5.858125453442334,40.852602161839606,61.462604408214524,38.22802528031171,2021,MN
115,13.287154571046504,129.65448709307242,150.60992117252508,5.944167244434355,40.970136143267155,61.35013920453692,38.7623669769615,2022,MN
116,13.190412476967314,130.80560853825887,151.1436512741803,6.030209035426376,41.08767017908394,61.23767417408532,39.29670880958439,2023,MN
117,13.09368774664665,131.95672989739109,151.6773813367588,6.116250827163455,41.20520424209535,61.12520922062305,39.83105069659651,2024,MN
118,12.996978279688228,133.1078511704691,152.21111136026053,6.2022926196455925,41.32273833230138,61.012744324902776,40.36539263799788,2025,MN
120,14.300561366602773,151.10668528694663,135.8626830856471,9.792431116104126,52.955527792125935,81.37602443819247,20.090720426570627,2020,MS
121,14.27584184650331,152.9100270053372,136.73152433930272,9.926146572828292,53.19579108990728,81.25153609911605,20.44858086081222,2021,MS
122,14.251122360303988,154.7133689388633,137.60036571800396,10.059862053394317,53.43605449646711,81.12704785627629,20.80644132904709,2022,MS
123,14.22640294190495,156.51671121660624,138.46920723738145,10.193577581644057,53.6763181477785,81.00255982515719,21.164301736094064,2023,MS
